timestamp,frame_number,fps,inference_ms,detection_count,average_confidence,brightness
2026-07-24T20:18:41,5941,14.598,23.123,3,0.4769,70.506
2026-07-24T20:18:41,5942,14.465,23.465,2,0.4217,70.751
2026-07-24T20:18:41,5943,15.592,23.342,2,0.4521,71.392
2026-07-24T20:18:41,5944,14.981,22.789,2,0.4713,71.739
2026-07-24T20:18:41,5945,14.473,23.038,1,0.6477,72.154
2026-07-24T20:18:42,5946,15.248,23.402,1,0.5249,72.229
2026-07-24T20:18:42,5947,14.632,24.021,2,0.4189,72.328
2026-07-24T20:18:42,5948,15.305,24.006,1,0.4402,72.0
2026-07-24T20:18:42,5949,13.503,23.971,1,0.687,71.758
2026-07-24T20:18:42,5950,16.168,23.095,1,0.7043,71.468
2026-07-24T20:18:42,5951,14.724,23.305,1,0.646,71.149
2026-07-24T20:18:42,5952,15.84,23.095,2,0.4773,70.798
2026-07-24T20:18:42,5953,14.352,23.997,2,0.434,70.496
2026-07-24T20:18:42,5954,14.606,23.311,2,0.4191,70.21
2026-07-24T20:18:42,5955,15.592,23.129,2,0.4338,69.874
2026-07-24T20:18:42,5956,15.217,22.661,2,0.4075,69.459
2026-07-24T20:18:42,5957,14.027,24.002,2,0.4276,69.008
2026-07-24T20:18:42,5958,15.879,22.598,2,0.4972,68.544
2026-07-24T20:18:42,5959,14.49,23.485,2,0.3568,68.099
2026-07-24T20:18:42,5960,14.596,23.263,0,0.0,67.904
2026-07-24T20:18:43,5961,15.469,22.539,1,0.355,68.054
2026-07-24T20:18:43,5962,14.612,23.456,0,0.0,68.453
2026-07-24T20:18:43,5963,14.891,23.189,0,0.0,69.086
2026-07-24T20:18:43,5964,15.974,22.233,0,0.0,70.054
2026-07-24T20:18:43,5965,14.115,23.343,2,0.4304,71.406
2026-07-24T20:18:43,5966,14.874,23.087,1,0.404,72.563
2026-07-24T20:18:43,5967,14.632,24.179,1,0.4127,73.315
2026-07-24T20:18:43,5968,15.971,22.121,0,0.0,74.009
2026-07-24T20:18:43,5969,13.688,23.91,0,0.0,74.507
2026-07-24T20:18:43,5970,16.044,23.036,1,0.4036,74.956
2026-07-24T20:18:43,5971,16.401,23.217,0,0.0,75.675
2026-07-24T20:18:43,5972,12.207,24.89,0,0.0,76.919
2026-07-24T20:18:43,5973,16.658,29.294,0,0.0,78.838
2026-07-24T20:18:43,5974,15.862,29.924,1,0.3952,80.975
2026-07-24T20:18:43,5975,16.767,22.092,0,0.0,83.407
2026-07-24T20:18:44,5976,13.324,24.22,0,0.0,85.67
2026-07-24T20:18:44,5977,14.402,24.77,0,0.0,87.499
2026-07-24T20:18:44,5978,14.126,24.865,1,0.402,87.49
2026-07-24T20:18:44,5979,17.252,23.674,1,0.6088,87.415
2026-07-24T20:18:44,5980,14.284,24.219,1,0.6277,88.594
2026-07-24T20:18:44,5981,13.015,24.784,1,0.3741,90.189
2026-07-24T20:18:44,5982,15.986,23.877,1,0.541,90.624
2026-07-24T20:18:44,5983,14.695,24.24,1,0.3887,89.492
2026-07-24T20:18:44,5984,15.312,23.512,0,0.0,87.926
2026-07-24T20:18:44,5985,15.541,22.363,2,0.6724,86.632
2026-07-24T20:18:44,5986,14.716,23.667,3,0.5174,85.987
2026-07-24T20:18:44,5987,15.346,23.184,2,0.4189,85.675
2026-07-24T20:18:44,5988,14.042,23.784,2,0.4935,85.475
2026-07-24T20:18:44,5989,15.777,22.696,2,0.5865,85.37
2026-07-24T20:18:44,5990,14.008,23.749,1,0.8508,85.147
2026-07-24T20:18:45,5991,14.895,26.237,2,0.5943,85.068
2026-07-24T20:18:45,5992,16.135,23.093,1,0.6109,84.919
2026-07-24T20:18:45,5993,13.884,23.388,2,0.5864,84.647
2026-07-24T20:18:45,5994,17.638,22.573,1,0.4991,84.069
2026-07-24T20:18:45,5995,13.056,24.014,1,0.4311,83.229
2026-07-24T20:18:45,5996,15.872,23.327,1,0.4673,82.043
2026-07-24T20:18:45,5997,14.933,23.629,1,0.3946,80.39
2026-07-24T20:18:45,5998,14.91,22.557,1,0.3954,76.875
2026-07-24T20:18:45,5999,14.241,23.77,1,0.433,72.246
2026-07-24T20:18:45,6000,15.079,23.712,1,0.5455,67.619
2026-07-24T20:18:45,6001,15.265,23.344,1,0.3522,65.78
2026-07-24T20:18:45,6002,15.015,23.976,2,0.4255,65.395
2026-07-24T20:18:45,6003,14.266,23.807,1,0.4426,65.845
2026-07-24T20:18:45,6004,15.556,23.523,1,0.5406,66.387
2026-07-24T20:18:45,6005,14.488,24.099,2,0.4867,66.108
2026-07-24T20:18:46,6006,15.188,23.906,1,0.6313,65.944
2026-07-24T20:18:46,6007,15.167,23.172,1,0.4622,66.022
2026-07-24T20:18:46,6008,14.067,24.141,2,0.3899,65.888
2026-07-24T20:18:46,6009,15.809,23.277,2,0.4003,65.679
2026-07-24T20:18:46,6010,15.12,23.346,1,0.4913,65.412
2026-07-24T20:18:46,6011,14.294,23.492,0,0.0,65.093
2026-07-24T20:18:46,6012,15.523,23.452,0,0.0,65.068
2026-07-24T20:18:46,6013,15.064,22.936,1,0.4526,65.153
2026-07-24T20:18:46,6014,14.284,24.272,1,0.3686,65.087
2026-07-24T20:18:46,6015,15.173,23.854,2,0.4616,64.972
2026-07-24T20:18:46,6016,14.743,23.63,2,0.5061,64.791
2026-07-24T20:18:46,6017,15.495,23.643,1,0.6056,64.585
2026-07-24T20:18:46,6018,15.189,23.979,1,0.4174,64.482
2026-07-24T20:18:46,6019,14.248,23.796,1,0.4989,64.401
2026-07-24T20:18:46,6020,14.741,23.176,1,0.5099,64.217
2026-07-24T20:18:47,6021,15.17,23.373,1,0.4216,64.261
2026-07-24T20:18:47,6022,14.649,23.708,1,0.5962,64.405
2026-07-24T20:18:47,6023,15.522,23.408,1,0.4378,64.252
2026-07-24T20:18:47,6024,14.062,24.441,2,0.4258,63.538
2026-07-24T20:18:47,6025,17.413,23.514,0,0.0,63.181
2026-07-24T20:18:47,6026,12.328,24.941,0,0.0,63.102
2026-07-24T20:18:47,6027,16.505,24.246,1,0.3535,63.026
2026-07-24T20:18:47,6028,15.772,21.952,1,0.355,62.867
2026-07-24T20:18:47,6029,13.812,23.732,0,0.0,62.779
2026-07-24T20:18:47,6030,15.395,23.939,1,0.3793,62.778
2026-07-24T20:18:47,6031,15.164,23.668,1,0.39,62.65
2026-07-24T20:18:47,6032,14.394,23.901,0,0.0,62.638
2026-07-24T20:18:47,6033,15.817,23.68,1,0.3683,62.621
2026-07-24T20:18:47,6034,14.706,23.438,1,0.3515,62.633
2026-07-24T20:18:47,6035,14.404,24.471,0,0.0,62.748
2026-07-24T20:18:48,6036,16.406,22.728,1,0.4136,62.978
2026-07-24T20:18:48,6037,14.085,24.14,1,0.4482,63.193
2026-07-24T20:18:48,6038,14.485,23.334,1,0.4189,63.587
2026-07-24T20:18:48,6039,15.409,23.778,2,0.5307,63.595
2026-07-24T20:18:48,6040,14.718,24.188,2,0.6278,62.753
2026-07-24T20:18:48,6041,14.914,23.667,1,0.7303,61.458
2026-07-24T20:18:48,6042,15.56,23.07,1,0.9053,59.984
2026-07-24T20:18:48,6043,14.536,24.143,2,0.6907,58.882
2026-07-24T20:18:48,6044,14.267,23.639,1,0.8595,58.073
2026-07-24T20:18:48,6045,15.261,22.928,2,0.6069,56.612
